[TEST Information]

 - Logging Start Time : 260127_135239
 - Project Name : 4WD Diag-3kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_135239.134	0	-1.4	-0.8	-3.4	-3.4	0.3	-0.2	0.0	0.0	-0.008	0.021	-1.004	0.02	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135239.144	0	-1.3	-0.8	-3.4	-3.4	0.3	-0.2	0.0	0.0	-0.009	0.020	-1.004	0.03	-0.03	-0.01	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135239.154	0	-1.3	-0.8	-3.3	-3.4	0.3	-0.2	0.0	0.0	-0.009	0.020	-1.004	0.03	-0.03	0.00	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135239.164	0	-1.4	-0.8	-3.3	-3.4	0.3	-0.2	0.0	0.0	-0.008	0.019	-1.004	0.03	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135239.174	0	-1.4	-0.8	-3.4	-3.4	0.3	-0.2	0.0	0.0	-0.008	0.019	-1.005	0.04	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135239.184	0	-1.4	-0.8	-3.4	-3.4	0.3	-0.2	0.0	0.0	-0.008	0.019	-1.005	0.04	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135239.195	0	-1.4	-0.8	-3.3	-3.3	0.3	-0.2	0.0	0.0	-0.008	0.019	-1.005	0.04	-0.01	0.00	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135239.205	0	-1.4	-0.8	-3.3	-3.3	0.3	-0.2	0.0	0.0	-0.008	0.019	-1.005	0.04	-0.01	0.00	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135239.215	0	-1.4	-0.8	-3.3	-3.4	0.3	-0.2	0.0	0.0	-0.008	0.019	-1.006	0.04	0.00	0.00	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135239.224	0	-1.4	-0.8	-3.4	-3.4	0.3	-0.2	0.0	0.0	-0.008	0.018	-1.006	0.03	0.00	0.01	52.2	-6	60	10	0	0	0	0	-150	200	120	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
