[TEST Information]

 - Logging Start Time : 260127_150201
 - Project Name : sus-bump-crossCorner-5kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_150201.091	0	-2.1	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.004	-1.005	-0.02	0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.101	0	-2.1	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	-0.03	0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.112	0	-2.1	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	-0.03	0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.122	0	-2.0	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	-0.03	0.01	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.132	0	-2.0	-0.8	-3.8	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.005	-1.005	-0.02	0.00	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.142	0	-2.0	-1.0	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	0.00	0.00	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.152	0	-2.1	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.006	-1.005	0.00	0.00	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.162	0	-2.1	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.006	-1.005	0.00	0.00	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.172	0	-2.1	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.005	0.00	0.00	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.183	0	-2.1	-0.9	-3.8	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.006	-1.005	0.00	-0.01	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.194	0	-2.0	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.006	-1.005	0.00	-0.01	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.205	0	-2.0	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.006	-1.005	0.01	-0.01	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.215	0	-2.0	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.006	-1.005	0.01	-0.01	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.226	0	-2.1	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.007	-1.004	0.01	-0.01	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.235	0	-2.1	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.007	-1.004	0.01	-0.01	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.246	0	-2.1	-0.9	-3.8	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.006	-1.005	0.01	-0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.255	0	-2.1	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	0.01	-0.01	0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.266	0	-2.1	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.004	0.02	-0.01	0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.276	0	-2.1	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.004	-1.004	0.01	-0.01	0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.285	0	-2.1	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	0.01	-0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.295	0	-2.0	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.005	-1.005	0.01	-0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.305	0	-2.1	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.004	-1.005	0.01	-0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.316	0	-2.1	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.004	-1.004	0.00	-0.01	-0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.326	0	-2.0	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	0.01	-0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.337	0	-2.1	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.005	-1.004	0.00	-0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.347	0	-2.1	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.005	-1.004	0.00	-0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.358	0	-2.0	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.005	-1.004	0.00	-0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.368	0	-2.1	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.004	-1.005	-0.01	0.00	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.378	0	-2.0	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.004	-1.005	-0.01	0.01	0.01	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.388	0	-2.1	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.005	-1.005	0.00	0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.399	0	-2.0	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	-0.01	0.01	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.410	0	-2.0	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	-0.02	0.00	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.420	0	-2.0	-0.9	-3.8	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.005	-0.02	0.00	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
260127_150201.430	0	-2.1	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.005	-1.005	-0.02	0.00	0.00	52.2	-6	60	12	0	0	0	0	-160	120	150	-150	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
