[TEST Information]

 - Logging Start Time : 260127_132434
 - Project Name : 가감속-5kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_132434.059	0	-2.0	-1.7	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.010	-1.006	-0.01	0.00	0.01	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.069	0	-2.0	-1.7	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.011	-1.005	-0.01	0.00	0.01	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.080	0	-2.0	-1.7	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.008	0.010	-1.005	0.00	0.00	0.01	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.089	0	-1.9	-1.7	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.010	-1.004	0.00	-0.01	0.01	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.099	0	-2.0	-1.6	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.010	-1.003	0.00	-0.01	0.01	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.109	0	-2.0	-1.6	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.009	-1.004	0.00	-0.01	0.00	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.119	0	-2.0	-1.7	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.010	-1.004	0.00	-0.01	0.00	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.130	0	-2.0	-1.7	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.010	-1.003	0.00	0.00	0.01	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.140	0	-2.0	-1.6	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.011	-1.003	0.00	0.00	0.01	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.151	0	-2.0	-1.7	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.010	-1.003	0.00	0.01	0.00	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.161	0	-2.0	-1.7	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.010	-1.003	0.00	0.01	0.00	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.171	0	-2.0	-1.7	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.010	-1.003	0.00	0.00	0.00	52.2	-6	60	9	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.182	0	-2.0	-1.6	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.007	0.010	-1.004	0.00	0.00	0.00	52.2	-6	60	10	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_132434.192	0	-2.0	-1.6	-2.9	-3.8	0.1	-0.2	0.0	0.0	0.006	0.010	-1.003	0.00	0.00	-0.01	52.2	-6	60	10	0	0	0	0	-70	360	160	-130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
